id,criterion,tier,status,summary,location,required_evidence,report
SCI-08,C6,Fair,OPEN,Abstract-only survey gaps cannot establish full-paper nonreporting.,paper/manuscript_marine.qmd:1414,Separate extraction statuses and deduplicate study denominators; repair groundwater attribution.,01_manuscript_and_figures.md
SCI-09,C2,Fair,OPEN,Largest-magnitude and coherence branch selection can bias inference.,paper/manuscript_marine.qmd:788,Predefine selection or validate it on independent data.,01_manuscript_and_figures.md
SCI-10,C2,Fair,OPEN,Appendix WCC delay sign contradicts the defined dilation convention.,paper/manuscript_marine.qmd:1345,Correct analytical pulse example and propagate finite-change Jacobian.,evidence/methods_figures.md
SCI-11,C4,Good,OPEN,Universal stack underestimation contradicts reported bias zero crossing.,paper/manuscript_marine.qmd:669,"Describe signed, scenario-specific recovery errors.",evidence/methods_figures.md
FIG-01,C4,Fair,OPEN,Figure1 WCS trajectory contradicts its caption.,paper/manuscript_marine.qmd:367; PDF p11,Reconcile saved numerical traces and recovery claim.,01_manuscript_and_figures.md
FIG-02,C5,Fair,OPEN,"Real-data figures conflict on components, dates, statistics, and counts.",paper/manuscript_marine.qmd:1176; PDF pp36–38,Generate labels and reported metrics from the same validated products.,01_manuscript_and_figures.md
FIG-03,C5,Fair,OPEN,"Missing units, clipped ensembles, occluding legends, and mixed RMS/bias labels.","PDF pp13,22,25,28,29,32,37",Add units and full-range views; move legends; label statistical objects.,01_manuscript_and_figures.md
FMT-01,C5,Good,OPEN,"Summary paragraphs, figure order, duplicated presentation, and placeholders need revision.",paper/manuscript_marine.qmd:10; paper/manuscript_marine.qmd:140,Single summary paragraph; resolve placeholders and figure order; clarify acronyms/history.,01_manuscript_and_figures.md
REP-01,C3,Poor,OPEN,Advertised figure build omits six graphics and can preserve stale results.,paper/build.py:124,One driver regenerates all graphics from versioned numerical manifests.,evidence/reproducibility.md
REP-02,C3,Poor,OPEN,Field products are ignored by Git and comparison driver is external.,paper/data/gate1/README.md:25,Archive field products and dependencies with exact hashes and executable driver.,evidence/reproducibility.md
REP-03,C3,Fair,OPEN,"Paper experiment settings, version metadata, and replay manifests are incomplete.",CITATION.cff; src/codameter/workflow.py:696,"Pin environments, settings, hardware, source and input hashes, seeds, and invocation.",evidence/reproducibility.md
COMP-01,C8,Fair,OPEN,"Acknowledgements, AI disclosure, and full data access/licensing statements are unfinished.",paper/manuscript_marine.qmd:1427,Complete authorship/funding/disclosure and actual data/software access statements.,01_manuscript_and_figures.md
